"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.css", "CSS", 0, 3, 0, 0, 59, 10, 72
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 41, 0, 0, 0, 1, 9, 51
"c:\GitHub\artdatabanken\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Footer.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\components\Link.tsx", "TypeScript JSX", 17, 0, 0, 0, 4, 3, 24
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 31, 0, 0, 0, 4, 3, 38
"c:\GitHub\artdatabanken\src\components\TableHeader.module.css", "CSS", 0, 7, 0, 0, 0, 2, 9
"c:\GitHub\artdatabanken\src\components\TableHeader.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 6, 42
"c:\GitHub\artdatabanken\src\components\index.ts", "TypeScript", 0, 0, 5, 0, 0, 2, 7
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 10, 85
"c:\GitHub\artdatabanken\src\dialogs\Dialog.module.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\dialogs\Dialog.tsx", "TypeScript JSX", 56, 0, 0, 0, 4, 11, 71
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.module.css", "CSS", 0, 22, 0, 0, 0, 4, 26
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 156, 0, 0, 0, 1, 23, 180
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog.tsx", "TypeScript JSX", 141, 0, 0, 0, 3, 26, 170
"c:\GitHub\artdatabanken\src\dialogs\index.ts", "TypeScript", 0, 0, 5, 0, 0, 2, 7
"c:\GitHub\artdatabanken\src\index.css", "CSS", 0, 12, 0, 0, 1, 2, 15
"c:\GitHub\artdatabanken\src\lib\canvas.ts", "TypeScript", 0, 0, 30, 0, 8, 6, 44
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 0, 0, 114, 0, 20, 20, 154
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 5, 19
"c:\GitHub\artdatabanken\src\lib\listData.ts", "TypeScript", 0, 0, 41, 0, 0, 2, 43
"c:\GitHub\artdatabanken\src\lib\useDebounceEffect.ts", "TypeScript", 0, 0, 11, 0, 23, 4, 38
"c:\GitHub\artdatabanken\src\main.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 2, 12
"c:\GitHub\artdatabanken\src\pages\ImageView.module.css", "CSS", 0, 16, 0, 0, 0, 4, 20
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 5, 25
"c:\GitHub\artdatabanken\src\pages\Page.module.css", "CSS", 0, 11, 0, 0, 0, 3, 14
"c:\GitHub\artdatabanken\src\pages\Page.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 3, 27
"c:\GitHub\artdatabanken\src\pages\PageGenerator.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 2, 11
"c:\GitHub\artdatabanken\src\pages\SpeciesView.module.css", "CSS", 0, 4, 0, 0, 0, 1, 5
"c:\GitHub\artdatabanken\src\pages\SpeciesView.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 17, 114
"c:\GitHub\artdatabanken\src\pages\index.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"c:\GitHub\artdatabanken\src\state.ts", "TypeScript", 0, 0, 151, 0, 2, 24, 177
"c:\GitHub\artdatabanken\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 730, 83, 361, 2, 131, 217, 1524
