"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\GitHub\artdatabanken\src\components\TableHeader.module.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 0, -12, 0, 12, 2, 2
"c:\GitHub\artdatabanken\src\index.css", "CSS", 0, 0, 0, 8, 0, 8
"c:\GitHub\artdatabanken\src\lib\data.ts", "TypeScript", 122, 0, 0, 0, 4, 126
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", -3, 0, 0, 11, 2, 10
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", 0, 10, 0, 1, 4, 15
"c:\GitHub\artdatabanken\src\pages\ImageView.module.css", "CSS", 0, 0, 5, 0, 1, 6
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 0, 17, 0, 0, 2, 19
"c:\GitHub\artdatabanken\src\pages\SpeciesView.module.css", "CSS", 0, 0, -4, 0, -1, -5
"c:\GitHub\artdatabanken\src\pages\SpeciesView.tsx", "TypeScript JSX", 0, -97, 0, 0, -17, -114
"c:\GitHub\artdatabanken\src\pages\SpeciesView\Filters.tsx", "TypeScript JSX", 0, 73, 0, 1, 18, 92
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.module.css", "CSS", 0, 0, 4, 0, 1, 5
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.tsx", "TypeScript JSX", 0, 68, 0, 0, 8, 76
"Total", "-", 119, 59, 6, 33, 25, 242
