"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.css", "CSS", 0, 0, 0, 0, -59, -9, -68
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 0, 0, 8, 0, 1, 1, 10
"c:\GitHub\artdatabanken\src\assets\placeholder.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 3
"c:\GitHub\artdatabanken\src\components\Pager.module.css", "CSS", 0, 20, 0, 0, 0, 5, 25
"c:\GitHub\artdatabanken\src\components\Pager.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 8, 44
"c:\GitHub\artdatabanken\src\components\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\dialogs\Dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, -1
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.module.css", "CSS", 0, 2, 0, 0, 0, 0, 2
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 0, 0, 24, 0, -13, -5, 6
"c:\GitHub\artdatabanken\src\index.css", "CSS", 0, 38, 0, 0, -6, 7, 39
"c:\GitHub\artdatabanken\src\lib\canvas.ts", "TypeScript", 0, 0, 0, 0, -8, -1, -9
"c:\GitHub\artdatabanken\src\lib\data.ts", "TypeScript", -122, 0, 0, 0, 0, -4, -126
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 13, 0, 0, 0, 2, 3, 18
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", 0, 0, -8, 0, 0, -2, -10
"c:\GitHub\artdatabanken\src\lib\listData.ts", "TypeScript", -41, 0, 0, 0, 0, -2, -43
"c:\GitHub\artdatabanken\src\lib\options.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 9, 64
"c:\GitHub\artdatabanken\src\pages\Collections.module.css", "CSS", 0, 62, 0, 0, 0, 11, 73
"c:\GitHub\artdatabanken\src\pages\Collections.tsx", "TypeScript JSX", 0, 0, 71, 0, 2, 11, 84
"c:\GitHub\artdatabanken\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 2, 13
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 0, 0, 44, 0, 2, 7, 53
"c:\GitHub\artdatabanken\src\pages\Page.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\pages\PageGenerator.tsx", "TypeScript JSX", 0, 0, -9, 0, 0, -2, -11
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImagesToFirebase.tsx", "TypeScript JSX", 0, 0, 62, 0, 1, 14, 77
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImagesToLocaleStorage.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 9, 62
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesToFirebase.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 19, 100
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 2, 17
"c:\GitHub\artdatabanken\src\pages\Settings\index.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\GitHub\artdatabanken\src\pages\SpeciesView\Filters.tsx", "TypeScript JSX", 0, 0, 13, 0, 1, -1, 13
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.module.css", "CSS", 0, 3, 0, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 5, 34
"c:\GitHub\artdatabanken\src\pages\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"c:\GitHub\artdatabanken\src\state.ts", "TypeScript", 17, 0, 0, 0, -2, 2, 17
"Total", "-", -110, 125, 490, 1, -80, 96, 522
