"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 0, 0, -14, 2, -2, -14
"c:\GitHub\artdatabanken\src\components\Footer.module.css", "CSS", 4, 0, 0, 0, 2, 6
"c:\GitHub\artdatabanken\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 5, 0, 1, 6
"c:\GitHub\artdatabanken\src\components\Pager.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, -4
"c:\GitHub\artdatabanken\src\index.css", "CSS", -6, 0, 0, 1, -2, -7
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", 0, 0, 16, 1, 6, 23
"c:\GitHub\artdatabanken\src\pages\Collections.module.css", "CSS", -62, 0, 0, 0, -11, -73
"c:\GitHub\artdatabanken\src\pages\Collections.tsx", "TypeScript JSX", 0, 0, -71, -2, -11, -84
"c:\GitHub\artdatabanken\src\pages\Collections\A4Page.tsx", "TypeScript JSX", 0, 0, 46, 2, 10, 58
"c:\GitHub\artdatabanken\src\pages\Collections\Collections.module.css", "CSS", 62, 0, 0, 1, 10, 73
"c:\GitHub\artdatabanken\src\pages\Collections\Collections.tsx", "TypeScript JSX", 0, 0, 51, 0, 9, 60
"c:\GitHub\artdatabanken\src\pages\ImageView.module.css", "CSS", 1, 0, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\pages\Page.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 8
"c:\GitHub\artdatabanken\src\pages\Settings\ImportBigDoc.tsx", "TypeScript JSX", 0, 0, 66, 5, 17, 88
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesToFirebase.tsx", "TypeScript JSX", 0, 0, -17, 0, -4, -21
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesToLocaleStorage.tsx", "TypeScript JSX", 0, 0, 71, 1, 14, 86
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.tsx", "TypeScript JSX", 0, 0, 12, 0, 2, 14
"c:\GitHub\artdatabanken\src\state.ts", "TypeScript", 0, 9, 0, 1, 2, 12
"Total", "-", -1, 9, 170, 12, 43, 233
