"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.css", "CSS", 0, 0, 3, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 0, 35, 0, 0, 4, 9, 48
"c:\GitHub\artdatabanken\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\placeholder.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Footer.module.css", "CSS", 0, 0, 4, 0, 0, 2, 6
"c:\GitHub\artdatabanken\src\components\Footer.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\components\Link.tsx", "TypeScript JSX", 0, 17, 0, 0, 4, 3, 24
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 0, 34, 0, 0, 4, 3, 41
"c:\GitHub\artdatabanken\src\components\Pager.module.css", "CSS", 0, 0, 20, 0, 0, 5, 25
"c:\GitHub\artdatabanken\src\components\Pager.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 8, 40
"c:\GitHub\artdatabanken\src\components\TableHeader.module.css", "CSS", 0, 0, 8, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\components\TableHeader.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 6, 42
"c:\GitHub\artdatabanken\src\components\index.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 10, 90
"c:\GitHub\artdatabanken\src\dialogs\Dialog.module.css", "CSS", 0, 0, 8, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\dialogs\Dialog.tsx", "TypeScript JSX", 0, 52, 0, 0, 3, 11, 66
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.module.css", "CSS", 0, 0, 24, 0, 0, 4, 28
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 21, 187
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog.tsx", "TypeScript JSX", 0, 145, 0, 0, 3, 26, 174
"c:\GitHub\artdatabanken\src\dialogs\index.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\GitHub\artdatabanken\src\index.css", "CSS", 0, 0, 44, 0, 4, 7, 55
"c:\GitHub\artdatabanken\src\lib\canvas.ts", "TypeScript", 30, 0, 0, 0, 0, 5, 35
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 124, 0, 0, 0, 33, 25, 182
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", 0, 32, 0, 0, 2, 13, 47
