"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 7, 0, -2, 0, 5
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 1, 0, -4, 0, -3
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 5, 0, 0, 1, 6
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 3, 0, 0, 4, 7
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog.tsx", "TypeScript JSX", 10, 0, -1, 0, 9
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 0, -3, -4, 1, -6
"c:\GitHub\artdatabanken\src\lib\zustand.ts", "TypeScript", 0, 50, 5, 2, 57
"c:\GitHub\artdatabanken\src\pages\Collections\Collections.tsx", "TypeScript JSX", -1, 0, 0, 1, 0
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 3, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\pages\Settings\ImportBigDoc.tsx", "TypeScript JSX", -66, 0, -5, -17, -88
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImagesToFirebase.tsx", "TypeScript JSX", 4, 0, 1, 0, 5
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImagesToLocaleStorage.tsx", "TypeScript JSX", -53, 0, 0, -9, -62
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesToFirebase.tsx", "TypeScript JSX", -1, 0, 1, -3, -3
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesToLocaleStorage.tsx", "TypeScript JSX", -71, 0, -1, -14, -86
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.tsx", "TypeScript JSX", -13, 0, 0, -2, -15
"c:\GitHub\artdatabanken\src\pages\SpeciesView\Filters.tsx", "TypeScript JSX", -2, 0, 0, 1, -1
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.tsx", "TypeScript JSX", 2, 0, 0, 3, 5
"c:\GitHub\artdatabanken\src\pages\index.ts", "TypeScript", 0, 1, 0, 1, 2
"c:\GitHub\artdatabanken\src\state.ts", "TypeScript", 0, -116, -1, -19, -136
"Total", "-", -172, -68, -11, -49, -300
