"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Auth.tsx", "TypeScript JSX", 19, 0, 0, 0, 4, 23
"c:\GitHub\artdatabanken\src\components\Footer.module.css", "CSS", 0, 1, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Link.tsx", "TypeScript JSX", 0, 0, 0, -4, -1, -5
"c:\GitHub\artdatabanken\src\components\Navigation.module.css", "CSS", 0, 3, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 23, 0, 0, 0, 1, 24
"c:\GitHub\artdatabanken\src\components\index.ts", "TypeScript", 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog.tsx", "TypeScript JSX", 1, 0, 0, 0, 1, 2
"c:\GitHub\artdatabanken\src\index.css", "CSS", 0, 4, 0, 0, 1, 5
"c:\GitHub\artdatabanken\src\lib\auth.ts", "TypeScript", 0, 0, 21, 2, 6, 29
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 0, 0, 8, -25, -3, -20
"c:\GitHub\artdatabanken\src\lib\index.tsx", "TypeScript JSX", -16, 0, 0, -1, -6, -23
"c:\GitHub\artdatabanken\src\lib\options.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\GitHub\artdatabanken\src\lib\state.ts", "TypeScript", 0, 0, 93, 9, 9, 111
"c:\GitHub\artdatabanken\src\lib\useDebounceEffect.ts", "TypeScript", 0, 0, 0, -23, -1, -24
"c:\GitHub\artdatabanken\src\lib\zustand.ts", "TypeScript", 0, 0, -88, -9, -8, -105
"c:\GitHub\artdatabanken\src\pages\Collections\Collections.tsx", "TypeScript JSX", -5, 0, 0, 0, -1, -6
"c:\GitHub\artdatabanken\src\pages\Home.tsx", "TypeScript JSX", 24, 0, 0, 0, 2, 26
"c:\GitHub\artdatabanken\src\pages\Page.tsx", "TypeScript JSX", 2, 0, 0, 0, 1, 3
"Total", "-", 62, 8, 35, -51, 9, 63
