"filename", "language", "TypeScript JSX", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.css", "CSS", 0, 3, 0, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 30, 0, 0, 0, 16, 8, 54
"c:\GitHub\artdatabanken\src\assets\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\placeholder.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Auth.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 4, 23
"c:\GitHub\artdatabanken\src\components\Footer.module.css", "CSS", 0, 5, 0, 0, 0, 2, 7
"c:\GitHub\artdatabanken\src\components\Footer.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\components\Link.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 2, 19
"c:\GitHub\artdatabanken\src\components\Navigation.module.css", "CSS", 0, 3, 0, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 4, 62
"c:\GitHub\artdatabanken\src\components\Pager.module.css", "CSS", 0, 20, 0, 0, 0, 5, 25
"c:\GitHub\artdatabanken\src\components\Pager.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 8, 40
"c:\GitHub\artdatabanken\src\components\TableHeader.module.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\components\TableHeader.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 6, 41
"c:\GitHub\artdatabanken\src\components\index.ts", "TypeScript", 0, 0, 0, 7, 0, 2, 9
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 81, 0, 0, 0, 2, 12, 95
"c:\GitHub\artdatabanken\src\dialogs\Dialog.module.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\dialogs\Dialog.tsx", "TypeScript JSX", 52, 0, 0, 0, 3, 11, 66
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.module.css", "CSS", 0, 18, 0, 0, 0, 3, 21
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.tsx", "TypeScript JSX", 156, 0, 0, 0, 3, 24, 183
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog\UploadImageDialog.tsx", "TypeScript JSX", 156, 0, 0, 0, 2, 27, 185
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog\drawImageOnCanvas.ts", "TypeScript", 0, 0, 0, 30, 0, 5, 35
"c:\GitHub\artdatabanken\src\dialogs\UploadImageDialog\useDebounceEffect.ts", "TypeScript", 0, 0, 0, 11, 1, 3, 15
"c:\GitHub\artdatabanken\src\dialogs\fields\HorizontalInput.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 3, 37
"c:\GitHub\artdatabanken\src\dialogs\fields\Input.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 3, 29
"c:\GitHub\artdatabanken\src\dialogs\fields\Select.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 3, 32
"c:\GitHub\artdatabanken\src\dialogs\fields\fields.module.css", "CSS", 0, 6, 0, 0, 0, 1, 7
"c:\GitHub\artdatabanken\src\dialogs\fields\index.ts", "TypeScript", 0, 0, 0, 4, 0, 2, 6
"c:\GitHub\artdatabanken\src\dialogs\index.ts", "TypeScript", 0, 0, 0, 5, 0, 2, 7
"c:\GitHub\artdatabanken\src\index.css", "CSS", 0, 48, 0, 0, 4, 8, 60
"c:\GitHub\artdatabanken\src\lib\auth.ts", "TypeScript", 0, 0, 0, 21, 2, 6, 29
"c:\GitHub\artdatabanken\src\lib\compareFunction.ts", "TypeScript", 0, 0, 0, 30, 3, 10, 43
"c:\GitHub\artdatabanken\src\lib\firebase.ts", "TypeScript", 0, 0, 0, 138, 16, 27, 181
"c:\GitHub\artdatabanken\src\lib\index.ts", "TypeScript", 0, 0, 0, 4, 0, 3, 7
"c:\GitHub\artdatabanken\src\lib\options.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 10, 69
"c:\GitHub\artdatabanken\src\lib\state.ts", "TypeScript", 0, 0, 0, 107, 8, 15, 130
"c:\GitHub\artdatabanken\src\main.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 2, 12
"c:\GitHub\artdatabanken\src\pages\Collections\A4Page.tsx", "TypeScript JSX", 46, 0, 0, 0, 1, 10, 57
"c:\GitHub\artdatabanken\src\pages\Collections\Collections.module.css", "CSS", 0, 62, 0, 0, 1, 10, 73
"c:\GitHub\artdatabanken\src\pages\Collections\Collections.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 9, 54
"c:\GitHub\artdatabanken\src\pages\Home.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 4, 39
"c:\GitHub\artdatabanken\src\pages\ImageView.module.css", "CSS", 0, 22, 0, 0, 0, 5, 27
"c:\GitHub\artdatabanken\src\pages\ImageView.tsx", "TypeScript JSX", 90, 0, 0, 0, 1, 17, 108
"c:\GitHub\artdatabanken\src\pages\Page.module.css", "CSS", 0, 11, 0, 0, 0, 3, 14
"c:\GitHub\artdatabanken\src\pages\Page.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 4, 39
"c:\GitHub\artdatabanken\src\pages\Settings\CreateImageBundle.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 8, 50
"c:\GitHub\artdatabanken\src\pages\Settings\ExportDatabase.tsx", "TypeScript JSX", 58, 0, 0, 0, 2, 11, 71
"c:\GitHub\artdatabanken\src\pages\Settings\ImportImages.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 8, 90
"c:\GitHub\artdatabanken\src\pages\Settings\ImportSpeciesBundle.tsx", "TypeScript JSX", 66, 0, 0, 0, 1, 12, 79
"c:\GitHub\artdatabanken\src\pages\Settings\MergeChangesIntoBundle.tsx", "TypeScript JSX", 40, 0, 0, 0, 4, 9, 53
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.module.css", "CSS", 0, 12, 0, 0, 0, 1, 13
"c:\GitHub\artdatabanken\src\pages\Settings\Settings.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 2, 33
"c:\GitHub\artdatabanken\src\pages\Settings\index.ts", "TypeScript", 0, 0, 0, 16, 0, 6, 22
"c:\GitHub\artdatabanken\src\pages\SpeciesView\Filters.tsx", "TypeScript JSX", 84, 0, 0, 0, 2, 18, 104
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.module.css", "CSS", 0, 7, 0, 0, 0, 2, 9
"c:\GitHub\artdatabanken\src\pages\SpeciesView\SpeciesView.tsx", "TypeScript JSX", 111, 0, 0, 0, 0, 14, 125
