"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GitHub\artdatabanken\src\App.css", "CSS", 0, 3, 0, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\App.tsx", "TypeScript JSX", 0, 0, 52, 0, 3, 11, 66
"c:\GitHub\artdatabanken\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\placeholder.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\GitHub\artdatabanken\src\components\Auth.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 4, 23
"c:\GitHub\artdatabanken\src\components\Footer.module.css", "CSS", 0, 5, 0, 0, 0, 2, 7
"c:\GitHub\artdatabanken\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 2, 12
"c:\GitHub\artdatabanken\src\components\Link.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 2, 19
"c:\GitHub\artdatabanken\src\components\Navigation.module.css", "CSS", 0, 3, 0, 0, 0, 1, 4
"c:\GitHub\artdatabanken\src\components\Navigation.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 5, 69
"c:\GitHub\artdatabanken\src\components\Pager.module.css", "CSS", 0, 20, 0, 0, 0, 5, 25
"c:\GitHub\artdatabanken\src\components\Pager.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 8, 40
"c:\GitHub\artdatabanken\src\components\TableHeader.module.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\components\TableHeader.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 6, 41
"c:\GitHub\artdatabanken\src\components\index.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\GitHub\artdatabanken\src\dialogs\DeleteImageDialog.tsx", "TypeScript JSX", 0, 0, 86, 0, 2, 13, 101
"c:\GitHub\artdatabanken\src\dialogs\Dialog.module.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"c:\GitHub\artdatabanken\src\dialogs\Dialog.tsx", "TypeScript JSX", 0, 0, 52, 0, 3, 11, 66
"c:\GitHub\artdatabanken\src\dialogs\SpeciesDialog.module.css", "CSS", 0, 18, 0, 0, 0, 3, 21
